issue_no,date,comment
1,1949-12-09,
2,1950-01-20,
3,1950-02-03,
4,1950-02-17,
5,1950-03-03,
6,1950-03-17,
7,1950-05-05,
8,1950-05-19,
9,1950-06-02,
10,1950-10-06,
11,1950-10-20,
12,1950-11-03,
13,1950-11-17,
14,1950-12-01,
15,1950-12-15,
16,1951-01-26,
17,1951-02-09,
18,1951-02-23,
19,1951-03-09,
20,1951-03-20,
21,1951-05-04,
22,1951-05-18,
23,1951-06-01,
24,1951-06-15,
25,1951-10-12,
26,1951-10-26,
27,1951-11-09,
28,1951-11-23,
29,1951-12-07,
30,1952-01-18,
31,1952-01-31,
32,1952-02-18,
33,1952-02-29,
34,1952-03-14,
35,1952-05-02,
36,1952-05-16,
37,1952-05-30,
38,1952-06-13,
39,1952-10-17,
40,1952-10-31,
41,1952-11-14,
42,1952-11-28,
43,1952-12-12,
44,1953-01-23,
45,1953-02-06,
46,1953-02-20,
47,1953-03-06,
48,1953-03-20,
49,1953-05-15,
50,1953-05-29,
51,1953-06-19,
52,1953-10-16,
53,1953-10-30,
54,1953-11-13,
55,1953-11-27,
56,1954-01-15,
57,1954-01-22,
58,1954-02-05,
59,1954-02-19,
60,1954-03-05,
61,1954-03-19,
62,1954-05-07,
63,1954-05-21,
64,1954-06-11,
65,1954-10-05,
66,1954-10-15,
67,1954-10-29,
68,1954-11-12,
69,1954-11-26,
70,1954-12-10,
71,1955-01-21,
72,1955-02-04,
73,1955-02-18,
74,1955-03-04,
75,1955-03-18,
76,1955-05-06,
77,1955-05-20,
78,1955-06-10,
79,1955-10-04,
80,1955-10-14,
81,1955-10-28,
82,1955-11-11,
83,1955-11-25,
84,1955-12-09,
85,1956-01-13,
86,1956-01-27,
87,1956-02-10,
88,1956-02-24,
89,1956-03-09,
90,1956-03-21,
91,1956-05-04,
92,1956-05-18,
93,1956-06-01,
94,1956-06-15,
95,1956-10-06,
96,1956-10-19,
97,1956-11-02,
98,1956-11-16,
99,1956-11-30,
100,1956-12-14,
101,1957-02-01,
102,1957-02-15,
103,1957-03-01,
104,1957-03-15,
105,1957-03-22,
106,1957-05-03,
107,1957-05-17,
108,1957-05-31,
109,1957-09-28,
110,1957-10-11,
111,1957-10-25,
112,1957-11-08,
113,1957-11-22,
114,1957-12-06,
115,1958-01-17,
116,1958-01-31,
117,1958-02-14,
118,1958-02-28,
119,1958-03-14,
120,1958-05-02,
121,1958-05-23,
122,1958-09-29,
123,1958-10-10,
124,1958-10-24,
125,1958-11-07,
126,1958-11-21,
127,1958-12-05,
128,1959-01-16,
129,1959-01-30,
130,1959-02-13,
131,1959-02-27,
132,1959-03-16,? Paper says 27/2 but defo typo. 16/3 is guess
133,1959-05-06,
134,1959-05-22,
135,1959-06-05,? Not shown on paper.  5/6 is guess
136,1959-10-05,
137,1959-10-16,
138,1959-10-30,
139,1959-11-13,
140,1959-11-27,
141,1959-12-11,
142,1960-01-15,
143,1960-01-29,
144,1960-02-12,
145,1960-02-26,
146,1960-03-11,
147,1960-04-29,? Not shown on paper.  Last week of april to first week of may. 29/4 is guess
148,1960-10-14,
149,1960-10-03,
150,1960-10-28,
152,1960-11-11,
153,1960-11-25,
154,1960-12-09,
155,1961-01-24,
156,1961-02-07,
158,1961-02-17,
159,1961-03-03,
160,1961-03-17,
